t_days,r_cm,Nn_cells_per_cm3,Nt_cells_per_cm3,Ch_mols_per_liter
11.57407,0.47500,6.12364e+07,2.71861e+03,8.52235e-10
11.57407,0.48000,6.12364e+07,2.71861e+03,8.51272e-10
11.57407,0.48500,6.12364e+07,2.71861e+03,8.50849e-10
11.57407,0.49000,6.12364e+07,2.71861e+03,8.50248e-10
11.57407,0.49500,6.12364e+07,2.71861e+03,8.50171e-10
11.57407,0.50000,6.12364e+07,2.71861e+03,8.49916e-10
23.14815,0.00000,4.96571e+07,7.29975e+05,1.40070e-08
23.14815,0.00500,4.96576e+07,7.29954e+05,1.39960e-08
23.14815,0.01000,4.96588e+07,7.29920e+05,1.39587e-08
23.14815,0.01500,4.96608e+07,7.29862e+05,1.38993e-08
23.14815,0.02000,4.96638e+07,7.29767e+05,1.38136e-08
23.14815,0.02500,4.96679e+07,7.29610e+05,1.37058e-08
23.14815,0.03000,4.96737e+07,7.29352e+05,1.35716e-08
23.14815,0.03500,4.96815e+07,7.28928e+05,1.34152e-08
23.14815,0.04000,4.96925e+07,7.28235e+05,1.32324e-08
23.14815,0.04500,4.97082e+07,7.27103e+05,1.30275e-08
23.14815,0.05000,4.97315e+07,7.25264e+05,1.27961e-08
23.14815,0.05500,4.97662e+07,7.22294e+05,1.25427e-08
23.14815,0.06000,4.98192e+07,7.17545e+05,1.22631e-08
23.14815,0.06500,4.98999e+07,7.10072e+05,1.19617e-08
23.14815,0.07000,5.00224e+07,6.98548e+05,1.16351e-08
23.14815,0.07500,5.02037e+07,6.81254e+05,1.12881e-08
23.14815,0.08000,5.04611e+07,6.56124e+05,1.09181e-08
23.14815,0.08500,5.08035e+07,6.20676e+05,1.05311e-08
23.14815,0.09000,5.12200e+07,5.71908e+05,1.01259e-08
23.14815,0.09500,5.16738e+07,5.06594e+05,9.71064e-09
23.14815,0.10000,5.21121e+07,4.23613e+05,9.28682e-09
23.14815,0.10500,5.24883e+07,3.28769e+05,8.86552e-09
23.14815,0.11000,5.27805e+07,2.35949e+05,8.45100e-09
23.14815,0.11500,5.29905e+07,1.59034e+05,8.05462e-09
23.14815,0.12000,5.31341e+07,1.03466e+05,7.67756e-09
23.14815,0.12500,5.32294e+07,6.67707e+04,7.32613e-09
23.14815,0.13000,5.32922e+07,4.36792e+04,6.99704e-09
23.14815,0.13500,5.33336e+07,2.94651e+04,6.69341e-09
23.14815,0.14000,5.33614e+07,2.07949e+04,6.41018e-09
23.14815,0.14500,5.33807e+07,1.55250e+04,6.14952e-09
23.14815,0.15000,5.33945e+07,1.23261e+04,5.90610e-09
23.14815,0.15500,5.34048e+07,1.03854e+04,5.68197e-09
23.14815,0.16000,5.34128e+07,9.20817e+03,5.47204e-09
23.14815,0.16500,5.34194e+07,8.49414e+03,5.27848e-09
23.14815,0.17000,5.34250e+07,8.06106e+03,5.09650e-09
23.14815,0.17500,5.34298e+07,7.79838e+03,4.92848e-09
23.14815,0.18000,5.34341e+07,7.63907e+03,4.76991e-09
23.14815,0.18500,5.34380e+07,7.54244e+03,4.62331e-09
23.14815,0.19000,5.34416e+07,7.48383e+03,4.48445e-09
23.14815,0.19500,5.34449e+07,7.44829e+03,4.35594e-09
23.14815,0.20000,5.34480e+07,7.42673e+03,4.23379e-09
23.14815,0.20500,5.34508e+07,7.41365e+03,4.12067e-09
23.14815,0.21000,5.34535e+07,7.40572e+03,4.01278e-09
23.14815,0.21500,5.34560e+07,7.40091e+03,3.91284e-09
23.14815,0.22000,5.34584e+07,7.39799e+03,3.81721e-09
23.14815,0.22500,5.34606e+07,7.39622e+03,3.72863e-09
23.14815,0.23000,5.34627e+07,7.39515e+03,3.64361e-09
23.14815,0.23500,5.34647e+07,7.39450e+03,3.56487e-09
23.14815,0.24000,5.34665e+07,7.39410e+03,3.48907e-09
23.14815,0.24500,5.34683e+07,7.39386e+03,3.41892e-09
23.14815,0.25000,5.34700e+07,7.39372e+03,3.35119e-09
23.14815,0.25500,5.34715e+07,7.39363e+03,3.28856e-09
23.14815,0.26000,5.34730e+07,7.39358e+03,3.22792e-09
23.14815,0.26500,5.34744e+07,7.39354e+03,3.17191e-09
23.14815,0.27000,5.34758e+07,7.39352e+03,3.11752e-09
23.14815,0.27500,5.34770e+07,7.39351e+03,3.06737e-09
23.14815,0.28000,5.34783e+07,7.39350e+03,3.01854e-09
23.14815,0.28500,5.34794e+07,7.39350e+03,2.97359e-09
23.14815,0.29000,5.34805e+07,7.39350e+03,2.92970e-09
23.14815,0.29500,5.34815e+07,7.39350e+03,2.88938e-09
23.14815,0.30000,5.34825e+07,7.39349e+03,2.84991e-09
23.14815,0.30500,5.34834e+07,7.39349e+03,2.81375e-09
23.14815,0.31000,5.34842e+07,7.39349e+03,2.77824e-09
23.14815,0.31500,5.34850e+07,7.39349e+03,2.74580e-09
23.14815,0.32000,5.34858e+07,7.39349e+03,2.71386e-09
23.14815,0.32500,5.34866e+07,7.39349e+03,2.68477e-09
23.14815,0.33000,5.34873e+07,7.39349e+03,2.65606e-09
23.14815,0.33500,5.34879e+07,7.39349e+03,2.63001e-09
23.14815,0.34000,5.34886e+07,7.39349e+03,2.60422e-09
23.14815,0.34500,5.34891e+07,7.39349e+03,2.58093e-09
23.14815,0.35000,5.34897e+07,7.39349e+03,2.55779e-09
23.14815,0.35500,5.34902e+07,7.39349e+03,2.53700e-09
23.14815,0.36000,5.34908e+07,7.39349e+03,2.51629e-09
23.14815,0.36500,5.34912e+07,7.39349e+03,2.49780e-09
23.14815,0.37000,5.34917e+07,7.39349e+03,2.47931e-09
23.14815,0.37500,5.34921e+07,7.39349e+03,2.46290e-09
23.14815,0.38000,5.34925e+07,7.39349e+03,2.44645e-09
23.14815,0.38500,5.34929e+07,7.39349e+03,2.43197e-09
23.14815,0.39000,5.34932e+07,7.39349e+03,2.41739e-09
23.14815,0.39500,5.34935e+07,7.39349e+03,2.40469e-09
23.14815,0.40000,5.34939e+07,7.39349e+03,2.39185e-09
23.14815,0.40500,5.34941e+07,7.39349e+03,2.38079e-09
23.14815,0.41000,5.34944e+07,7.39349e+03,2.36955e-09
23.14815,0.41500,5.34947e+07,7.39349e+03,2.36001e-09
23.14815,0.42000,5.34949e+07,7.39349e+03,2.35027e-09
23.14815,0.42500,5.34951e+07,7.39349e+03,2.34215e-09
23.14815,0.43000,5.34953e+07,7.39349e+03,2.33380e-09
23.14815,0.43500,5.34955e+07,7.39349e+03,2.32700e-09
23.14815,0.44000,5.34957e+07,7.39349e+03,2.31996e-09
23.14815,0.44500,5.34958e+07,7.39349e+03,2.31440e-09
23.14815,0.45000,5.34959e+07,7.39349e+03,2.30859e-09
23.14815,0.45500,5.34960e+07,7.39349e+03,2.30420e-09
